latitud,longitud,fecha,batimetria,temperatura,salinidad,productividad,presencia
24.158333,-110.425,2008-01-18,-4,20.02,34.56,1284.69,1
24.158333,-110.425,2003-05-27,-4,23.48,34.62,1154.32,1
25.275,-112.091667,2007-12-19,-3,20.026,34.367,1018.11,1
24.158333,-110.391667,2008-04-07,-1,21.14,34.59,1673.08,1
24.625,-111.875,2005-09-23,-7,27.73,34.36,601.34,1
24.625,-111.875,2008-09-30,-7,27.72,34.39,460.72,1
24.625,-111.875,2008-09-12,-7,26.88,34.37,460.72,1
28.31,-112.158333,2005-08-11,-368,31.479,35.065002,555.32,1
27.530833,-112.285,2006-02-09,-529,17.335,35.019,531.68,1
21.809167,-106.371111,2010-02-14,-439,26.281,34.397,822.46,1
23.171111,-107.755556,2010-02-14,-2475,23.99,34.736,875.3,1
25.120278,-110.425,2010-07-07,-1696,27.494,35.219,644.69,1
28.344167,-112.502222,2005-08-11,-785,30.715,35.153,911.37,1
27.248333,-112.036944,2006-02-09,-346,18.52,34.29,1483.19,1
27.476667,-111.633889,2006-02-09,-1771,18.185,34.968002,1415.78,1
28.195,-112.41,2005-08-11,-490,30.034,35.131,551.24,1
27.774167,-111.883333,2006-02-09,-1526,17.769,34.859,1524.55,1
23.001111,-109.415833,2010-02-14,-800,23.2,35.006,1287.31,1
20.348333,-105.909167,2006-08-07,-2432,30.714,34.420002,376.31,1
22.830556,-107.410278,2010-02-14,-1396,24.088001,34.534,916.37,1
30.287534,-112.896492,2005-11-25,-35,21.849,35.746002,1142.94,1
27.433847,-112.130737,2005-11-22,-766,23.227001,35.233,1183.96,1
27.356718,-111.196953,2005-11-22,-1821,21.427,35.038002,1683.72,1
26.379999,-116.199997,2000-01-24,-3876,17.305,34.107002,547.37,1
26.379999,-116.199997,2002-05-04,-3876,16.548,33.868,749.37,1
28.637778,-115.29,2002-04-30,-274,15.962999,33.587,2164.37,1
29.046944,-115.97,2001-04-12,-1914,15.351,33.634003,3177.53,1
29.761419,-112.764274,2005-11-25,-94,21.957,35.728,1744.33,1
28.315,-114.879722,2003-02-10,-114,17.726,33.905,769.12,1
28.315,-114.879722,2001-10-13,-114,19.963,34.231003,799.32,1
28.315,-114.879722,2003-04-18,-114,17.776,33.794,1514.05,1
28.315,-114.879722,2001-07-06,-114,19.947,33.682,1586.54,1
28.315,-114.879722,2001-01-26,-114,16.406,33.887,834.32,1
28.458889,-115.589722,2003-04-14,-969,16.8,33.634003,1344.22,1
28.2,-114.589722,2003-02-10,-106,17.461,33.912003,650.15,1
28.2,-114.589722,2003-04-18,-106,17.29,33.775,1848.99,1
28.876944,-116.29,2002-04-27,-2050,15.735,33.665,854.14,1
28.049722,-114.9,2001-07-07,-83,21.175,33.707,1114.96,1
28.049722,-114.9,2003-04-18,-83,17.369999,33.79,1698.73,1
28.28,-115.949722,2001-07-05,-3635,21.702,33.616,858.2,1
27.7,-115.529722,2003-04-17,-2402,17.055,33.607002,1747.92,1
27.7,-115.529722,2001-07-07,-2402,22.557,33.629,827.46,1
26.135401,-111.295097,2005-11-20,-96,23.01,34.45,1233.72,1
27.228889,-114.98,2001-01-30,-1645,16.621,34.016,1053.78,1
30.020346,-113.375778,2005-11-26,-137,22.83,35.586,1181.06,1
28.1,-116.239722,2002-12-24,-4161,18.815,34.173,737.18,1
26.718889,-114.489722,2002-02-04,-3110,18.378,34.191,998.33,1
26.718889,-114.489722,2000-01-27,-3110,18.108,34.392002,1074.16,1
28.562481,-113.005401,2005-11-24,-296,22.378,35.604,1672.26,1
27.128889,-115.16,2002-02-03,-4194,16.797,34.171,1045.93,1
29.32896,-112.48056,2005-11-25,-50,20.237,35.484,2984.05,1
27.94,-115.23,2003-04-18,-39,17.282,33.803,1603.13,1
27.94,-115.23,2003-02-10,-39,18.247,33.929,707.55,1
27.94,-115.23,2003-10-21,-39,20.387,33.9,1077.44,1
27.94,-115.23,2001-07-07,-39,22.052,33.735,1229.47,1
26.92,-114.11,2000-01-27,-84,17.787,34.385002,883.01,1
26.92,-114.11,2002-02-04,-84,15.847,33.987,978.38,1
26.92,-114.11,2001-01-30,-84,16.654999,34.079002,807.76,1
26.65,-116.139999,2002-07-25,-3825,21.471,33.72,619.87,1
27.926906,-111.789177,2005-11-23,-538,19.963,35.302002,1367.94,1
27.54,-115.87,2001-01-28,-3882,16.503,34.027,640.76,1
26.995876,-111.847023,2005-11-22,-109,23.21,35.292,1332.69,1
24.9,-110.25,2003-05-27,-617,25.269001,35.244,969.2,1
24.9,-110.23,2008-04-07,-740,21.475,35.055,927.39,1
25.16,-112.5,2007-12-19,-150,19.581,34.291,734.46,1
24.37,-111.52,2008-09-30,-1,29.18,34.672,458.15,1
24.37,-111.52,2005-09-23,-1,26.534,34.428,601.8,1
24.37,-111.52,2008-09-12,-1,27.811,34.656002,458.15,1
24.9,-110.25,2008-01-18,-617,18.844,35.081,1560.64,1
